Method,Estimate,CI Low,CI High,samples
Classical MC (benchmark),0.1697456702577838,,,10000000
"IAE (StatevectorSampler, ideal, manually constructed circuit)",0.16590494689644905,0.15716441817370347,0.17464547561919447,5
"IAE (StatevectorSampler, ideal, library circuit)",0.1699994387247553,0.16124924545465957,0.17874963199485114,7
"3Q Direct (Noisy Aer, ibm_fez)",0.239226626453986,0.21208713153212372,0.26636612137584825,3,4096
"3Q Direct (IBM Hardware, ibm_fez)",0.2508092936565998,0.22358540739523605,0.2780331799179636,3,4096
IAE (5q) Noisy Aer (ibm_fez),0.21540423348266996,0.17240534327594917,0.2584031236893907,4096,5
IAE (5q) IBM Hardware (ibm_fez),0.23819402677295984,0.19502223535424415,0.28136581819167555,4096,5
